hash,created_at,amount,source_account,destination_account,micro_transfer,large_transfer,timestamp,anomaly,is_suspicious
tx_30,2025-04-12T18:45:43.854863,791.39,G1072601,G7851022,False,False,1744483543.8548632,1,False
tx_31,2025-04-12T18:47:32.854863,375.82,G1393036,G5086894,False,False,1744483652.8548632,1,False
tx_32,2025-04-12T20:40:29.854863,993.84,G4718247,G9946957,False,True,1744490429.8548632,-1,True
tx_33,2025-04-12T19:32:27.854863,854.15,G5584021,G2379330,False,False,1744486347.8548632,1,False
tx_34,2025-04-12T20:14:20.854863,136.68,G2763042,G9910835,False,False,1744488860.8548632,1,False
tx_35,2025-04-12T18:15:44.854863,194.71,G8905015,G4039075,False,False,1744481744.8548632,1,False
tx_36,2025-04-12T19:06:10.854863,211.64,G1204830,G6856009,False,False,1744484770.8548632,1,False
tx_37,2025-04-12T18:33:20.854863,994.59,G1773526,G3677805,False,True,1744482800.8548632,1,True
tx_38,2025-04-12T19:47:27.854863,473.17,G4671587,G3791484,False,False,1744487247.8548632,1,False
tx_39,2025-04-12T19:38:27.854863,52.96,G1077280,G6065835,False,False,1744486707.8548632,1,False
tx_40,2025-04-12T19:29:21.854863,140.29,G5876108,G3957616,False,False,1744486161.8548632,1,False
tx_41,2025-04-12T19:26:41.854863,87.52,G8497894,G6922582,False,False,1744486001.8548632,1,False
tx_42,2025-04-12T18:35:29.854863,313.13,G2365819,G4655451,False,False,1744482929.8548632,1,False
tx_43,2025-04-12T18:56:25.854863,999.62,G2956985,G1138636,False,True,1744484185.8548632,1,True
tx_44,2025-04-12T19:58:02.854863,109.99,G8096709,G7533700,False,False,1744487882.8548632,1,False
tx_45,2025-04-12T19:23:38.854863,821.04,G5336863,G4536523,False,False,1744485818.8548632,1,False
tx_46,2025-04-12T19:00:06.854863,182.16,G7800166,G7387413,False,False,1744484406.8548632,1,False
tx_47,2025-04-12T19:07:37.854863,526.73,G5321232,G9647892,False,False,1744484857.8548632,1,False
tx_48,2025-04-12T20:20:09.854863,548.17,G5947168,G8142137,False,False,1744489209.8548632,1,False
tx_49,2025-04-12T18:20:39.854863,464.17,G5979357,G9062215,False,False,1744482039.8548632,1,False
tx_50,2025-04-12T18:24:09.854863,681.08,G6726308,G1557108,False,False,1744482249.8548632,1,False
tx_51,2025-04-12T19:36:47.854863,377.95,G8621312,G4179549,False,False,1744486607.8548632,1,False
tx_52,2025-04-12T20:11:04.854863,169.67,G4068820,G9929344,False,False,1744488664.8548632,1,False
tx_53,2025-04-12T19:58:50.854863,488.22,G9998654,G6359717,False,False,1744487930.8548632,1,False
tx_54,2025-04-12T18:40:53.854863,876.1,G5664168,G2420039,False,False,1744483253.8548632,1,False
tx_55,2025-04-12T18:22:04.854863,599.28,G7221565,G4373233,False,False,1744482124.8548632,1,False
tx_56,2025-04-12T18:17:40.854863,563.28,G7833580,G9355924,False,False,1744481860.8548632,1,False
tx_57,2025-04-12T19:09:05.854863,109.36,G4963781,G5330158,False,False,1744484945.8548632,1,False
tx_58,2025-04-12T20:34:22.854863,243.67,G1723757,G9980872,False,False,1744490062.8548632,1,False
tx_59,2025-04-12T19:58:34.854863,640.21,G2818207,G4400102,False,False,1744487914.8548632,1,False
tx_60,2025-04-12T19:12:50.854863,876.81,G6450839,G9809273,False,False,1744485170.8548632,1,False
tx_61,2025-04-12T20:23:08.854863,442.23,G7216691,G8358864,False,False,1744489388.8548632,1,False
tx_62,2025-04-12T18:14:35.854863,743.3,G6405439,G6475593,False,False,1744481675.8548632,1,False
tx_63,2025-04-12T20:04:37.854863,159.9,G1473721,G2361160,False,False,1744488277.8548632,1,False
tx_64,2025-04-12T19:37:33.854863,688.23,G5962043,G6334513,False,False,1744486653.8548632,1,False
tx_65,2025-04-12T19:17:31.854863,950.69,G1668630,G6313886,False,True,1744485451.8548632,1,True
tx_66,2025-04-12T18:51:37.854863,149.02,G7366158,G2448886,False,False,1744483897.8548632,1,False
tx_67,2025-04-12T18:46:30.854863,649.78,G8233475,G4757152,False,False,1744483590.8548632,1,False
tx_68,2025-04-12T19:00:42.854863,87.62,G1330885,G6508534,False,False,1744484442.8548632,1,False
tx_69,2025-04-12T18:04:45.854863,556.64,G3829259,G3900886,False,False,1744481085.8548632,1,False
tx_70,2025-04-12T18:53:34.854863,355.45,G7354148,G8629171,False,False,1744484014.8548632,1,False
tx_71,2025-04-12T18:18:51.854863,924.66,G9818639,G2476154,False,False,1744481931.8548632,1,False
tx_72,2025-04-12T18:43:45.854863,966.8,G3968201,G1076219,False,True,1744483425.8548632,1,True
tx_73,2025-04-12T18:16:58.854863,804.36,G6984506,G9608418,False,False,1744481818.8548632,1,False
tx_74,2025-04-12T18:23:49.854863,469.34,G8565771,G8005144,False,False,1744482229.8548632,1,False
tx_75,2025-04-12T18:16:28.854863,366.22,G6449962,G1234087,False,False,1744481788.8548632,1,False
tx_76,2025-04-12T19:56:49.854863,426.19,G5130468,G7117550,False,False,1744487809.8548632,1,False
tx_77,2025-04-12T19:30:06.854863,766.12,G1611228,G5049931,False,False,1744486206.8548632,1,False
tx_78,2025-04-12T18:53:00.854863,472.5,G3234662,G6125225,False,False,1744483980.8548632,1,False
tx_79,2025-04-12T19:34:32.854863,384.4,G5891430,G7346757,False,False,1744486472.8548632,1,False
tx_80,2025-04-12T19:14:56.854863,246.25,G6982311,G3809369,False,False,1744485296.8548632,1,False
tx_81,2025-04-12T19:27:12.854863,63.79,G8565241,G5614280,False,False,1744486032.8548632,1,False
tx_82,2025-04-12T18:43:49.854863,529.82,G2784909,G5018734,False,False,1744483429.8548632,1,False
tx_83,2025-04-12T19:18:25.854863,365.65,G6714118,G9196277,False,False,1744485505.8548632,1,False
tx_84,2025-04-12T20:19:22.854863,789.54,G8091161,G1199552,False,False,1744489162.8548632,1,False
tx_85,2025-04-12T20:19:32.854863,240.39,G5164986,G1061520,False,False,1744489172.8548632,1,False
tx_86,2025-04-12T20:10:20.854863,22.4,G3093197,G1250813,False,False,1744488620.8548632,1,False
tx_87,2025-04-12T20:09:56.854863,956.27,G6789214,G8758342,False,True,1744488596.8548632,1,True
tx_88,2025-04-12T18:52:32.854863,275.43,G4351046,G2182663,False,False,1744483952.8548632,1,False
tx_89,2025-04-12T18:29:31.854863,967.21,G6561679,G5216306,False,True,1744482571.8548632,1,True
tx_90,2025-04-12T20:41:29.854863,419.57,G6342828,G7680144,False,False,1744490489.8548632,1,False
tx_91,2025-04-12T19:24:23.854863,69.08,G3878295,G2488032,False,False,1744485863.8548632,1,False
tx_92,2025-04-12T18:57:21.854863,841.91,G7055304,G3110287,False,False,1744484241.8548632,1,False
tx_93,2025-04-12T20:37:36.854863,15.8,G8883095,G3934771,False,False,1744490256.8548632,-1,True
tx_94,2025-04-12T19:19:53.854863,217.86,G9705957,G1015085,False,False,1744485593.8548632,1,False
tx_95,2025-04-12T20:27:02.854863,469.21,G9858230,G7709692,False,False,1744489622.8548632,1,False
tx_96,2025-04-12T19:18:40.854863,941.58,G9280240,G7294370,False,False,1744485520.8548632,1,False
tx_97,2025-04-12T20:23:29.854863,420.73,G7704628,G3160981,False,False,1744489409.8548632,1,False
tx_98,2025-04-12T19:33:48.854863,811.94,G1549577,G3980373,False,False,1744486428.8548632,1,False
tx_99,2025-04-12T18:48:05.854863,551.73,G6307984,G8889363,False,False,1744483685.8548632,1,False
tx_100,2025-04-12T18:37:23.854863,744.62,G3031215,G8741515,False,False,1744483043.8548632,1,False
tx_101,2025-04-12T19:43:43.854863,725.17,G9243346,G8575304,False,False,1744487023.8548632,1,False
tx_102,2025-04-12T18:55:42.854863,917.6,G7009935,G8429941,False,False,1744484142.8548632,1,False
tx_103,2025-04-12T20:13:37.854863,262.95,G3781527,G2949418,False,False,1744488817.8548632,1,False
tx_104,2025-04-12T19:57:20.854863,302.97,G1383865,G4444996,False,False,1744487840.8548632,1,False
tx_105,2025-04-12T20:43:24.854863,289.28,G2141971,G3972807,False,False,1744490604.8548632,-1,True
tx_106,2025-04-12T19:58:22.854863,824.47,G2475085,G6466246,False,False,1744487902.8548632,1,False
tx_107,2025-04-12T19:32:26.854863,772.5,G7868032,G1515979,False,False,1744486346.8548632,1,False
tx_108,2025-04-12T18:01:26.854863,824.88,G2031710,G7759598,False,False,1744480886.8548632,-1,True
tx_109,2025-04-12T18:26:35.854863,850.02,G8615527,G7395683,False,False,1744482395.8548632,1,False
tx_110,2025-04-12T19:35:39.854863,584.27,G3002263,G7098498,False,False,1744486539.8548632,1,False
tx_111,2025-04-12T18:20:24.854863,214.56,G7622415,G3918924,False,False,1744482024.8548632,1,False
tx_112,2025-04-12T18:22:57.854863,120.09,G2626427,G6631253,False,False,1744482177.8548632,1,False
tx_113,2025-04-12T20:13:08.854863,946.88,G7131091,G8752253,False,False,1744488788.8548632,1,False
tx_114,2025-04-12T18:21:12.854863,47.87,G8184318,G3395278,False,False,1744482072.8548632,1,False
tx_115,2025-04-12T18:56:36.854863,704.33,G2041290,G2612221,False,False,1744484196.8548632,1,False
tx_116,2025-04-12T18:08:06.854863,638.38,G8045640,G6693490,False,False,1744481286.8548632,1,False
tx_117,2025-04-12T20:16:52.854863,367.41,G3370255,G3908535,False,False,1744489012.8548632,1,False
tx_118,2025-04-12T20:37:11.854863,165.61,G4654508,G4365945,False,False,1744490231.8548632,1,False
tx_119,2025-04-12T18:43:50.854863,186.83,G6051021,G5700168,False,False,1744483430.8548632,1,False
tx_120,2025-04-12T20:12:17.854863,233.55,G6985721,G1661340,False,False,1744488737.8548632,1,False
tx_121,2025-04-12T19:14:04.854863,806.42,G4660001,G6979050,False,False,1744485244.8548632,1,False
tx_122,2025-04-12T19:48:44.854863,710.26,G8465764,G1112202,False,False,1744487324.8548632,1,False
tx_123,2025-04-12T20:14:06.854863,876.03,G2791862,G5618312,False,False,1744488846.8548632,1,False
tx_124,2025-04-12T18:12:58.854863,800.85,G1911021,G4746673,False,False,1744481578.8548632,1,False
tx_125,2025-04-12T18:47:49.854863,318.21,G9392459,G5138905,False,False,1744483669.8548632,1,False
tx_126,2025-04-12T19:53:52.854863,582.73,G3575584,G8604035,False,False,1744487632.8548632,1,False
tx_127,2025-04-12T19:10:12.854863,868.43,G8712617,G7451049,False,False,1744485012.8548632,1,False
tx_128,2025-04-12T20:13:10.854863,767.16,G7571072,G9756462,False,False,1744488790.8548632,1,False
tx_129,2025-04-12T18:50:39.854863,287.93,G1525731,G6775912,False,False,1744483839.8548632,1,False
tx_130,2025-04-12T20:12:35.854863,433.89,G2537281,G6186981,False,False,1744488755.8548632,1,False
tx_131,2025-04-12T20:12:14.854863,391.14,G9940626,G8236361,False,False,1744488734.8548632,1,False
tx_132,2025-04-12T18:33:06.854863,911.73,G9597298,G9897920,False,False,1744482786.8548632,1,False
tx_133,2025-04-12T18:47:46.854863,573.1,G2045759,G8607601,False,False,1744483666.8548632,1,False
tx_134,2025-04-12T20:22:23.854863,727.25,G7222493,G7136758,False,False,1744489343.8548632,1,False
tx_135,2025-04-12T19:34:24.854863,485.88,G9366038,G2374879,False,False,1744486464.8548632,1,False
tx_136,2025-04-12T18:06:06.854863,502.49,G1590427,G6496019,False,False,1744481166.8548632,1,False
tx_137,2025-04-12T18:36:49.854863,213.8,G8891346,G3421578,False,False,1744483009.8548632,1,False
tx_138,2025-04-12T18:30:39.854863,892.13,G1958264,G8765287,False,False,1744482639.8548632,1,False
tx_139,2025-04-12T18:17:26.854863,654.22,G9867078,G4679714,False,False,1744481846.8548632,1,False
tx_140,2025-04-12T20:13:01.854863,78.52,G9076523,G9664062,False,False,1744488781.8548632,1,False
tx_141,2025-04-12T20:23:30.854863,199.09,G4283099,G8268224,False,False,1744489410.8548632,1,False
tx_142,2025-04-12T19:30:03.854863,727.32,G6435779,G7837609,False,False,1744486203.8548632,1,False
tx_143,2025-04-12T19:40:59.854863,247.22,G1623770,G8522435,False,False,1744486859.8548632,1,False
tx_144,2025-04-12T20:28:24.854863,832.4,G9963659,G7285706,False,False,1744489704.8548632,1,False
tx_145,2025-04-12T18:18:21.854863,764.84,G2546412,G4607424,False,False,1744481901.8548632,1,False
tx_146,2025-04-12T19:58:13.854863,692.23,G1661593,G7644468,False,False,1744487893.8548632,1,False
tx_147,2025-04-12T20:19:46.854863,233.72,G3966005,G4115033,False,False,1744489186.8548632,1,False
tx_148,2025-04-12T20:43:16.854863,919.12,G3525766,G5927826,False,False,1744490596.8548632,-1,True
tx_149,2025-04-12T18:16:43.854863,182.5,G6685080,G2938324,False,False,1744481803.8548632,1,False
tx_150,2025-04-12T18:42:30.854863,630.74,G6923557,G9379063,False,False,1744483350.8548632,1,False
tx_151,2025-04-12T18:16:02.854863,804.41,G7300739,G4256949,False,False,1744481762.8548632,1,False
tx_152,2025-04-12T19:34:47.854863,366.09,G8544770,G4169736,False,False,1744486487.8548632,1,False
tx_153,2025-04-12T20:11:34.854863,708.36,G9416935,G4582561,False,False,1744488694.8548632,1,False
tx_154,2025-04-12T18:06:03.854863,254.95,G6073432,G9239606,False,False,1744481163.8548632,1,False
tx_155,2025-04-12T18:52:53.854863,293.38,G4839220,G5785863,False,False,1744483973.8548632,1,False
tx_156,2025-04-12T18:07:51.854863,212.46,G3298390,G3019197,False,False,1744481271.8548632,1,False
tx_157,2025-04-12T18:14:01.854863,779.42,G7865346,G1857216,False,False,1744481641.8548632,1,False
tx_158,2025-04-12T18:27:10.854863,30.94,G8866729,G6011035,False,False,1744482430.8548632,1,False
tx_159,2025-04-12T18:39:37.854863,957.08,G1820713,G5783123,False,True,1744483177.8548632,1,True
tx_160,2025-04-12T20:19:38.854863,4.23,G5839004,G5018439,False,False,1744489178.8548632,-1,True
tx_161,2025-04-12T19:54:45.854863,894.05,G1631019,G4948767,False,False,1744487685.8548632,1,False
tx_162,2025-04-12T20:17:04.854863,576.49,G3848475,G1173202,False,False,1744489024.8548632,1,False
tx_163,2025-04-12T19:04:48.854863,733.25,G7961725,G4275274,False,False,1744484688.8548632,1,False
tx_164,2025-04-12T18:26:52.854863,375.73,G6266592,G4872248,False,False,1744482412.8548632,1,False
tx_165,2025-04-12T20:18:27.854863,159.37,G3270323,G7055385,False,False,1744489107.8548632,1,False
tx_166,2025-04-12T20:15:09.854863,804.81,G2776677,G9677304,False,False,1744488909.8548632,1,False
tx_167,2025-04-12T18:27:33.854863,791.39,G1039434,G9601422,False,False,1744482453.8548632,1,False
tx_168,2025-04-12T20:07:28.854863,634.16,G9630806,G7619214,False,False,1744488448.8548632,1,False
tx_169,2025-04-12T18:17:45.854863,403.45,G7690169,G7463271,False,False,1744481865.8548632,1,False
tx_170,2025-04-12T18:45:42.854863,826.07,G1541186,G9864966,False,False,1744483542.8548632,1,False
tx_171,2025-04-12T19:33:58.854863,170.3,G4373440,G3516469,False,False,1744486438.8548632,1,False
tx_172,2025-04-12T18:54:34.854863,702.64,G1319131,G8311067,False,False,1744484074.8548632,1,False
tx_173,2025-04-12T18:59:02.854863,863.66,G1526251,G1131717,False,False,1744484342.8548632,1,False
tx_174,2025-04-12T18:54:24.854863,266.03,G5518205,G3417225,False,False,1744484064.8548632,1,False
tx_175,2025-04-12T18:34:06.854863,594.65,G8190184,G5621623,False,False,1744482846.8548632,1,False
tx_176,2025-04-12T19:38:30.854863,297.43,G2865384,G5227860,False,False,1744486710.8548632,1,False
tx_177,2025-04-12T20:26:16.854863,538.23,G2992715,G7438949,False,False,1744489576.8548632,1,False
tx_178,2025-04-12T19:31:40.854863,918.31,G9909264,G9437865,False,False,1744486300.8548632,1,False
tx_179,2025-04-12T19:52:47.854863,648.07,G2791754,G7945352,False,False,1744487567.8548632,1,False
tx_180,2025-04-12T20:16:06.854863,729.54,G6240212,G1032276,False,False,1744488966.8548632,1,False
tx_181,2025-04-12T18:46:22.854863,904.67,G8905323,G5963379,False,False,1744483582.8548632,1,False
tx_182,2025-04-12T19:15:18.854863,164.25,G9746017,G6101764,False,False,1744485318.8548632,1,False
tx_183,2025-04-12T18:26:03.854863,676.09,G3613546,G6075584,False,False,1744482363.8548632,1,False
tx_184,2025-04-12T18:42:00.854863,218.78,G6143830,G5498829,False,False,1744483320.8548632,1,False
tx_185,2025-04-12T19:38:11.854863,350.12,G6759135,G7696147,False,False,1744486691.8548632,1,False
tx_186,2025-04-12T18:26:51.854863,153.63,G9622668,G3673547,False,False,1744482411.8548632,1,False
tx_187,2025-04-12T18:55:45.854863,513.77,G1074034,G8673190,False,False,1744484145.8548632,1,False
tx_188,2025-04-12T19:37:22.854863,147.57,G5082056,G4072838,False,False,1744486642.8548632,1,False
tx_189,2025-04-12T19:25:15.854863,610.1,G8050917,G6355768,False,False,1744485915.8548632,1,False
tx_190,2025-04-12T18:48:58.854863,494.21,G8395675,G4997026,False,False,1744483738.8548632,1,False
tx_191,2025-04-12T20:08:09.854863,416.95,G1192161,G5825262,False,False,1744488489.8548632,1,False
tx_192,2025-04-12T20:26:50.854863,582.97,G6146717,G2955727,False,False,1744489610.8548632,1,False
tx_193,2025-04-12T19:46:45.854863,81.17,G6062326,G4513763,False,False,1744487205.8548632,1,False
tx_194,2025-04-12T18:49:31.854863,661.64,G6506621,G4809863,False,False,1744483771.8548632,1,False
tx_195,2025-04-12T20:35:53.854863,776.19,G1303730,G3732835,False,False,1744490153.8548632,1,False
tx_196,2025-04-12T18:10:16.854863,81.33,G5915828,G5249978,False,False,1744481416.8548632,1,False
tx_197,2025-04-12T20:41:09.854863,124.47,G9780877,G7976220,False,False,1744490469.8548632,-1,True
tx_198,2025-04-12T19:18:55.854863,154.63,G2165714,G6300168,False,False,1744485535.8548632,1,False
tx_199,2025-04-12T18:36:14.854863,48.43,G9417706,G5935754,False,False,1744482974.8548632,1,False
